Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
Animal,"Ranbir Kapoor confirms ‘Love & War’ delay, shares big updates on Animal Park and Brahmastra 2. Check expec - The Economic Times",15-02-2026,The Economic Times,https://news.google.com/rss/articles/CBMimAJBVV95cUxObTZVVUtjeFB2dktteEt2NmxJLWVpallUcEgzcUdxWEhfbmxncGx1eGp5SU1sZ3hTeGFqYUxScUMzS2daT3lGdzNjbHhaZ1otckEtMXVIemNtQ2VRYjdsTm1EbFBrenJYSXFqc0hnU19QS2lKSFhiTjFldEdKZENxRUFkTGs2cDI5T25QcFY0bWlYbDM0MDNLbktpRXRPMklWQ2stTmx6bVZoNC1UOFZVRzVrZFZNN3otUTRYdG85bXp1U24zTk5aYTRRdHR0alhQeDdwLVEtdndLMlhzMXlhamwydGpxdG15bVFON3JxalR5c3hyM0sycDBKS0JPMkpBNWFMY0VnMGxNMGNUSk1nT3dvbWxyZDdU0gGeAkFVX3lxTE10NGxvRVNzS3F2UTlldWFzeDZCRGlHRzliQWdTc2lqemVvWVp3U1JVOFhxWnRvTk5CN1NUZVlGdjE3M3JUMGozUUNzTkF5T2VaR0tSbnJaN2U5bTBKTVRYWFlwcDVQQTBYLVRSNnlOZDl3RDhLVzVMT3lqbk9SZExudXh4UnR5alhPbF9yb2ZwUXMxMkVROTBlWEhOUVc0WURpdVpYYzFpNVVrVkhDdFVkdzBMTnNtZmtjSmJNOEQzZ3cyNVNzYU1hR3ZWa3lnSkE3MEpsSmpkRHU0d3VNZ3NlSmFIZzVYQXdtMmR0TXVVZFFNLVNsSUVqSmRlMFVGaTB1LThLRWRfY1pDYzR5RDFZYTZGRVhiUDY5bFVqR1E?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"Ranbir Kapoor breaks silence on Animal Park and Brahmastra 2 schedule, one to begin sooner than expected - OTTPlay",15-02-2026,OTTPlay,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQaWpIRU5ZdXg3TGlHd0hyNGlRS3JhNzRHNVB4TnluaTlqeUFnSm00eHJ0eHJKZll6Tl9VeHpqTndOb3VFRFBEbC16RkliaDY4ZjRBNUhUX1BXdVpTVFJWX3c3UXctMGRaclpacHQ4bEVYV2w0Sk0tdGwwalZXLXRLWmVyazFUNWxKa0ZkMjYzVHowRUZuNGgwZnlfX0pyaUQxZXhuWjVObzBfcmk3UzRrT1YyZkQ1MW9XckhyRTRoRjVxMmFqeVpaNmFEV3AydGl0V1llUW9uMXYyeDlOa1HSAeMBQVVfeXFMUHJPS2ZaT0s3MWVSM3FJN3ktRHhTd2U5anZqcFNxbUNQYV9mcXRNUnBORVJfMXk3UmNYc09lcXdwZ2hjRzB5VzJFRURHcGthQUI4bnNZZW54WUlndmhNS3BCSHg4elI3dUlyYm1NTkd6YmZWbEU5dDMtTndrbFlaTXhEVTBHMkdlTHVnMzV4aWNDdXNvMXdRNVFBVXI0RExJc0Q3VHdhbUgza1g3WkFZR1VZZlU3YW9xSkVFZ1N0RUJyaTlRMkhEQXgxN2JmNk9aVGxWazR1djAzY3poNk5zYWp4VHc?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Ranbir Kapoor teases 'Animal Park' update in special message to Japanese fans - WATCH - Times of India,15-02-2026,Times of India,https://news.google.com/rss/articles/CBMiigJBVV95cUxPOXdnYXVUVnkxR0ZtQURQTkRHeGtoWG5QelhOTUlfYjh6aWxPTVlNb1U4R2pWNEZTRmVkWW5EczZaNE03VmZpSS1FeS1oQ2ZiZkVscXR0UFBkdWVCdUo1OGNDSWdNMS1XZzBuRzRqb0g5X3lUVGhoZnMyXzh2TW9Rd1BrejVSeU1UZmZWMjNHNUlIS1kyUC0zLXpadWxkTzRFd3RjYzIxdE51WllidE9xcHJvbTdZY1JrR25fS3BkSWR2cU42RlU2d1pKYmYtclUzVG9qMkE0Ymg5UTk0UGVpeTVmM0dLVVdYR0xjV2Z5dDd4VzZQT3NUNUVLRkJ2ZF9oaDg5WkJSYXZ1d9IBjwJBVV95cUxPc1M5SU13VHFnUWRTNUY3ZlNOTWhTTFREcTdId19kb1NFTnc3Tm5VU1dyTWtLdXVwc09EYTF1ci1zV05CZkM2T0JzbU5Gb211VjhvTEJRdGhZcE50ZmRTMTV3QXJhc0wtZDIzTXdtSnpZYUlwSGlkR3BMdVBjblVfVzN4QWpVSGFjUFYtT1hwQzFQSEJWSkJacHBKT1h3WFMzWmpmS2kzTnNxRjRDT28ycmZ4N3Vya0ZwZ0VFMVRmZWdsbWtnWkpVRjVibDFic29lYUlZOGtkenhuWUdiNzNXNnV6Y0dkdjYyaDhoc3A2Yi1kU0RaT0ozSFRYQkNiUmdUM3lGSlN3MTZxUWdTOU9Z?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"China Made Dangal A Rs 1,300-Crore Blockbuster. Can Japan Do So For Animal? - NDTV",12-02-2026,NDTV,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQY2ktZVd5b1BscnM5ek1nWjBqX0ZEd2xBdEJJdEN6UmFyVkI0QmdsN05aRUxNVUdSdldtaDJFT2trd1FYaEpHTFBmbHVtYlhHMUM1NjVFQXZkNk5ONl9hcEZINkdrNXV3azBTN2tiTlA1VmlsbE44WmFRUExDSVRuRVhUMjlGSkF1VkhiMWRnSFhLcWU0dGNLTFZiM3pQTi1hclN6aFpwMXFwbk5JbGp5bDU1Q0ZfX0VF0gHAAUFVX3lxTE95enlrSGhONU1XbEI4a2RYM053dDZRMUYtQTIwbVYwVl9BbVBMWkxuYm53S25jdk1pWVN6bHl2Z1k2SEMxSXNYV1lHZXpsOTkta0FxYnZKaW5fRWZrdmxTRmJDdEl1Q3luYTNLczQtSXF0bkpvb0t5enhIQjM1bVU1bzlpNmJDZVpUZlNib0d5eGdnal93Slgyci01aUtIeHVxSjNqVUh1MFNzMGd0TUtTdUxGMmRuZ0xIWS1oNGR1ZA?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Shahid Kapoor confirms Kabir Singh cameo was considered initially for Ranbir Kapoor’s Animal: “Dates ka issue ho gaya” - Bollywood Hungama,10-02-2026,Bollywood Hungama,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQMmNaTzhReTluNUJsdkhsY1hpZlNaQjh0YWJCQWtCbUJIR2ppU1YxM0hSdzJIN0R3TVdZb0ptRUM5bnc4djA0aS13MDlNQXNsLUdyaTJ6VWVLY1pOOWxnTGtfVkNBdFA2ci15WnlZZ3U0bVhhYVdJUXZMdW1pTGlhSVNiWG1yQlpxRmZBUnBkdVdXTHVxaVlWemktQnF3ZFZGWWUxdWQ1dnVZVXc2RjhuSjdEcVNwV3ZKSVpVMFpPcnl2WVZOWGlIam5VMmJuMnhKMXgyUFRxQndmTVlPT1I3b1ZUNmFqYVBPSXfSAe8BQVVfeXFMUHhib0JBSzQwUmRLa3BhRGZsOVhEeGNkbG0xZDktb3hIRFo1OUFzeF9XYVFjMmsxdlA3QkdEZDA5QmJqckxIVmpRNll5U0ZVQ3BFYUdSSU1XTnVGZmh5YzM0WFdGc0hnNHVvMU1YaXltNXBnR3N0YWNycGhuVTMxTEZ4T3RySG5Cb2psd2lIb2tVQWpUUGR1NXRWM3Bpa0RGZHVQdUc4T21nSFNKdkNBeWlQSndieTEwaG8zQ3Fmb084ajNNR00wS2Q5eVYzNUNhTkNjaHFQZFRORG1KVVdOcmstX0xFUTBwRGp5cTJaTG8?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"Triptii Dimri Defies Early Doubts, Rises to National Spotlight After Animal Breakthrough - Dainik Jagran MP CG",13-02-2026,Dainik Jagran MP CG,https://news.google.com/rss/articles/CBMixwFBVV95cUxNbHZHcmQ1eU4tVWdSbHJSRjhmeUxvUDRldExrVTNfS21Xc21KQ0tvSnUtcjdfQ2dvZWRWY0Qxa3hlSWRGYVlHa1RUczlIYVVYLThQRHBqbDNaZHlkNEpoU0ZOQS1aT3ZGSi14UDUwaUMyZXB1VzRaenJDdkhCcDB1SFBLYlFWOVlObW44YVVKSlFYazk2d1Q0Z09QYTh5WUZOc1FiQjZlQ3B0LVlxTkJKZ3JkRFNWWXhzOGo4VkNTajB6WVRUd184?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Ranbir Kapoor reveals what made him connect to Animal: ‘Grew up with that distance from our father…’ - WION,05-02-2026,WION,https://news.google.com/rss/articles/CBMi7wFBVV95cUxOS2lZTkJSUjNkR3NJRVo1VnNfMFAxUF9hd3BVUlczN2V6UWxoaUU5bGpKUDI5dDdBNXNMcnNZVG1ZWkM0c0EwOVFvX2JEWW1iSUwzeF9GaXpyNk9ScWtEMTEtVjlWRmJjenRlYkhYb0s1dks1dGlTRjFpTE5ELU5Ob2ZlWFJfbmVnZTJLYmdmNGx4U2FKR2NEY1ZrZVE0bWIzel9BQkxwTnFmRWNscGlWUGNzc3NuRS04OTNTaGVWTmppNXIzT0FITklPZE1HNXB5T291RGhhcFNrdURCNXZSSEp6NEc4S1F3Um1iLVFOc9IB9AFBVV95cUxPS1ZrQlgxOW5HeDJTYXM1cU1EZENja3htN09TUWZReWtpU0hHeVRJT2ZUMGowUDVBMlVCeXlyRHg2aElfUWxfY29vbWtoZVczYTdCYXl4MURZUkRwZVlJUzRRYWJudnR2cTVoVWRVQ3gzenZzSXFkSnpYRmpBNHFNVjRKb2N2cm5UYkN1RzB0akNuaHFnNzZLbFREVlJJeEFQc1pEbGM3SmNPUUNoSEFYcmZhdEw4dkdvNHJDU0lVVkxsYnlKTmx0blFpOXBVMTF1MTQ0ekREd0JrSmc3QzJYZ0NQY2NPcmRmMktmaE0yTDN6cnl6?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Animal Actors and Animators: Inside Apple’s ‘Shot On iPhone’ CNY Film - Little Black Book | LBBOnline,12-02-2026,Little Black Book | LBBOnline,https://news.google.com/rss/articles/CBMiigFBVV95cUxOUFRnblJPd0hTanE4cUI1bkRFRm5qU2FfMFZBc2d6SVA1Q0h6X2htZk95cFFCN1BpOWw1Qk1DeFNhRVV4ZHZnSXZjUEJua1NSVmpQZVh2UnpQa0pCcHg0M2tHc0ZzSGd1cFRxLUJRTHJDTU5SMkR3UkFVWEZ3OW5Uc1k4S3ROS3R4ekE?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,‘Goat’ Cast Guide: All the Celebrities and NBA Stars Voicing Animals in the Basketball Movie - Variety,14-02-2026,Variety,https://news.google.com/rss/articles/CBMigwFBVV95cUxPVWwtUWtMSjRKNWZTeU1wUGNTNkhwMHdOUTUzbS1PdzRSUGFYaWplaUJkVTEwa0RhbkRTcTIzaHcwdlNjVzhMN0wxbUllQW5adGR6M3BENUFZSDFISGFpMUFLUGZXN21WNUNZRUFhYmxfUzNZXzEyWnNIcUV5dmluLW4wWQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Throwback: When Ranbir Kapoor teased Rashmika Mandanna about her ‘Real Hero’ Vijay Deverakonda - Times of India,13-02-2026,Times of India,https://news.google.com/rss/articles/CBMilAJBVV95cUxNMGVmbHgwbWpaTVY2MFRtTWVEQnZxWXBPUHdrWEZJZFpON1RmR2d0ajZwOC1fdEtrSTNUcWt5RnJRVVN3cTMyUi0wczY3WmNVRFd4ZC1PV0NKdi1SQmFtaTRvNGxYZTFaV21rQW8xR3M3T2NPX3NWcjU3RGdwYnVzblppeEpkUlhnU0xhSUQ3M3dOenczRXBCcGJxSldZdlVkR3prUTdsZFJqSElQc2kwRGc3cFNvc1RkZzk3c3lCdUZqRUlhWHJsUVpXLWJFWUZBYUVmamNQS0wyUnRkOVJBbzMycUZlaGZtNEtycnBYMkdqOHZEeUF0THhXbFJXVUk3U3dQSXdPaVFtbHBPUUZ4X2dXX0bSAZoCQVVfeXFMUGljU3lGWGhmLTVpUWFSb01FUlZCR1ZqNEJnVjJtZFBnekk0a19uS2ZGSmQwa0RvcWg4clMxNVFOelFlUUxqR0VEY3Z5TVl2WUppQUlxUHBWNzZhZ05qMFdVak4wNmoxQnJxU19iZ2dKVWYtV25kT0gxd3B2SVYwS19UeG53SFR5cm5FelhmTmtJbGdjakRGc1BlRXY1Q2FDTENPTVFJenAxYnQ4ams3YzByb1hkOWtCWlhTNXF2OVZPaklIRVlpaWdZWmNPWVBYT0FoaWhXdU5YSDJkOUpJRk1aSl9nanJ1VEdSTGVyUi1oN1QzcVBacS1UU0NBLWFpTDNvMHFHbHpmMHVlT0pSaHA3THdtNkw3LUVB?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,0,1
