Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
Lipstick Under My Burkha,This Day That Year: Lipstick Under My Burkha Clocks 8 Years - BollySpice.com,22-07-2025,BollySpice.com,https://news.google.com/rss/articles/CBMiigFBVV95cUxOYnJNdTZCdXRHTWh2b18xNHk2M3l2OENUcldOWHVWT0l6ckNHSGYzQ0p4eXpER1NrUWN6dE92YmppbUt6LW9VRmRIRERyNzZyUHNObjFOZjdXMThDaU1KRW5UTWRGNGlRMlVUdVlZZUNzcVZGOUpSOGJLcll6bUpkRlFtZ0RwdlZDMmc?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,Konkana Sen Sharma turns 46: 5 films that prove her acting prowess in both Hindi and Bengali films - DNA India,03-12-2025,DNA India,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNX1p1QWxXMEdwSzl6ampBMEk5OS1NVlh1SHJOT2prYVFZd2hlX2g4NkdmbkNtOUN4X3VFc2pJWXBzUGgtMHJtTE5Fdl9LWmlhZU56Zk45Ml8yeDA2N2doRTFCaEtVN3RKaExWWTdSQUxLUFVfQUlySXZOZFZBS3EzU1J2VDNLSVZrR0xvbmhqdk1GMUNXXzd5RURaSFY3NnRsdUdCZGJCaG1Gc1c0YVNpaWVZa0l0ckp4NHlGcHVmLU1GdjFNTkhMV3ZaTE9GZVMtekVXYUVyZFdtSWF3RmJDTUhQNml3Z25nTktvQ0Q4VQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,0,1
Lipstick Under My Burkha,8 years of Lipstick Under My Burkha: 6 films that follow its trailblazing path | Hindustan Times - Hindustan Times,21-07-2025,Hindustan Times,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPLS1peUVNYVdjenNUTC1fdnk2MEdEVGh1bXJXMXY2ejZNSFhnNGxRQ3owMnJKaWJZVW96RllLaGNINWVGcnNpTFF1SXNYUlpEZGxxSVloUHlOY0hxSlE2OFI4dkxrZUUzYnAyT3RWT0JGWjdtOWhBMXB3c2lBeHNDRnl5YU9EM3UtYU9vV2NJNUpfcDhKdFVSOVZfWnRVYWRmMS0tU2hXbm4xanpQMmRidWhqSl9hZmxiODlLcHpXYWx3TTJoX0Zld1lQcU9iQkJLRG03ZWdralQxWUJqWXBsT1h2TUpaMHV5Ulo2NUxiQdIB9AFBVV95cUxNR0pDSjI5OTM5b2R5Y3dMdGZncWpaOFJDTVBPWUo5SXJhX2RxZFRZSXFGdS1sQkZSZkp2cmVfUWFWREZ4MWttLVE5Um5UdV9oUG9QSG5nWXo2X1ZhaWlSVF90Nm9lQzd6aFl3WDVDc0EwYmpuLWVfQUlfNm42MW4xTkQtZTc1MXNQYU5ka0F5emVMSE0wbENmUjJ6Y1llbDBQVllWcDRwTXJwOUVoWXNmeG9rY2Mwdy0wbFpoN2xBell5Z0RMVDJMWVVZNmw2dmtYRkhQU3JsSjVKdWtCc0pTbmVaQ0tVbjE3RVJGRVEyMjdTUXIx?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,94 to 100 cuts! From Bandit Queen to Lipstick Under My Burkha: Films that faced the CBFC hammer - Mathrubhumi English,06-04-2025,Mathrubhumi English,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPeXN3c051bC1HQ3lwSTNBN3N2M0MyaUxWYUcwQzZFbi1rVy00RGh1WGItR1hoT056UjVBRFZmN1pPNU5ZRFlaRmRseUNBaDJzaHJZT3B6QVJ5ZVg3amMydVRZV0dMd2QwNFc3QkJqWUpxWGpMQzBGQmFZS2VWV29IeTduZzdGSjBhVTJpZTJmdEhqVWRuZ1AxbjVESzRVcHR2ZWVWZkp5RnhmRHNwb19lQm9MYkItbWVQTVVIb0pWYmJWOUFrTF92MkYteVNweDI0d0dz0gHYAUFVX3lxTFBXTHhCSGd1d2V1X1d3TUZrYjVFWXRrOGVMUm9mSVJKQlZyeXJ1LUlfRi1MWTNZTFRLUGZXSkNpNlZWald5LXVBSUhrTVBPeTZaOF81WVZ5RXFwd1hDUWxTWTVxUkhYSnZMZmdpeFU2eWZJcXVJbWhRZEtlb0lPWXNKVzJSTzliZXdNamRFTDZrUzRNVlJWOWhrQXNBYWVhTlVZZU52c3Y5MDJ0cVZUeEk1UjNkeHNYTVBKSkVDaTYwbFhtdkgxVFI5YVJBMG5sREh2NFMzQnByWg?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,1,2
Lipstick Under My Burkha,Aahana Kumra wishes ‘power star’ Pawan Singh on b’day: Stay child like - thehawk.in,06-01-2026,thehawk.in,https://news.google.com/rss/articles/CBMipAFBVV95cUxOSG1yTDAwWHZWa3Y1S2VtUmhBWHNKNURjRGU5c3ZybVIwd056aWdQLVNSQ3h0c29pSGxoSjhCejI5NG15dnZRRDBvaVJTU2JyOURFVUVBTjZCaTlKVElMV0RmVmdzWlZnSFVKdjFNRmJvakJadlFfSy1BeEdkMndFdGVEZ1Vka05jMU1yVjAxWUN5TWUwSnljU2poVEpqV1ZoeFdhYQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,FCAT directs CBFC to grant A certificate to ‘Lipstick Under My Burkha’ - The Hindu,26-04-2017,The Hindu,https://news.google.com/rss/articles/CBMizwFBVV95cUxQa09JYjZDX3NFTk9kMG9zRzlCckJ4UURhZ0JUZFFEN2c1d2RIV3YwX0RsR1lMQWtDaHdGVlRyUzBLcUpmckVfQ0lLbU9tOUhIcEZTYndGMzZSRzZoRk1DUTMzZkowZzlPdDNSeWxRVHNVUnB3OG1DZVlXWmdDQTRtZEM2M1prQmY4MmtNNmNBallzZDh3N3BRQ0FiVzV6UkxPVlQwQnpHdklTSDVwRHFCSUZ4NDJEcUEzMGNLbjN0RDgyMDdSUmJ6RTZ2V1RMaU3SAdYBQVVfeXFMT084ZTFVdF9CakhKajZHeUJwY2hDSFJyemh0cHVtRno4SmRJV2dzSTAwUDY3eHVLWHdtN1pKVGZMSFB4cjZxVTNsVlg4YUZ3cnppNndaMy11Qks2UkZTbGlsYzU2UVRzX2dKeUpIYmRKT1N6NzJrZHk2dlBZTGNfTmtfcVpHdHZkbkd0SlpHT2pWaHdtTHhVb0V1bWV1elZnQ3FhTVlXWjRBYlhwYkZnWjRtWVVuYmZ0ZWVRU2V5TlBMZW9jeG5XLThwdUE3bHRGY19rcVpYUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,0,1,1
Lipstick Under My Burkha,Lipstick Under My Burkha: India director vows to fight 'illogical' film ban - BBC,03-03-2017,BBC,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1uWm5iUDhuSEJvc2hkMndBWlFCSkI1SnlKTXZCaGxiNDY1c0Z6bXYxeVhTeXhFVm90cjNLMnMyY3N1bk5iWV81M1BId2NyYlFWaWlHUTFiQlpCeDJ4WEdF0gFkQVVfeXFMTlhRSWExMVhldGZQY2FxTUdyeF90Qkd0LXFTTWc5WkppaVhpaU5ZSlJZOU9xLW5DR1NsclVzWkJaeHpzNG9qQVZLUmo4QkJRanJ6b1ZZdUdkUU9lR2FMM29uZTdJUA?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,1,0,1
Lipstick Under My Burkha,"'Padmaavat', 'The Kashmir Files' to 'Udta Punjab': Bollywood films that overcame CBFC bans to hit the big screen - Times of India",02-11-2025,Times of India,https://news.google.com/rss/articles/CBMipwJBVV95cUxNSzhTb0RwTXNRVDdyYVE5LWZPNjM1MUV4T040SzVnWkVJWFNaOU5PdVEzZWZ0UjRvRnpyT0R4Qk9PVllabERTNC01QUhXOGVtay1ZX3drd09zdUQyZUQ2RHFKR0UwWUpsVWFGQ3BoamtxaFFuYlZuTmtTU3UzNHdPeW1vMTN0cUxNWTJnVWJuSXJPOGdmVkJmWGpablExZm8ySU1WZXM5dURkMVJleFF1R0d5MGVzNnpWbmpQdkZFWVFIR004RF9qbXQyZUZxMG50SmhLRjJEMDdOeGY4cVlFR1dPOVZmdmJiVExpa1FITGRGSkNNV0VKOEwtS2dOa2hlNnQ1WDRVcWplOFY0NDNhRXBWSUVwaERFdThUSENkc3dBY1BPcTU40gGvAkFVX3lxTFBpZS1ja3dNLTlUb2dsV3FsMHdiaXZ5N0N0SDIxR1pQcDFRNkp1N2tkZWFBU0xmSWxnSnFvdXNkUmptYnVreXM2bldFVk1yQW9jX0hzNDZZbkE3R2R4eUNUVnExQWlFX09STFVjUWFJMTBILU84dVBMd0V6aGVNdUF3VnhDcWtqWTdTS1QxUUVTQWFLTVB4WHNoam5fTXd5ZTktTE9lUThVZ2F1b09xZUlpVDJYTHNYM2dHTmFycENMQkxyRXR1TlZpdExwNlZrQkl4TVBibmRpY0U1OEEzQUxHRWVNdW5fS3RVNmxhZDNEd25KcnJsbjM4UVVCcWl5THRjamJ1T1luSTluV2hyTEpvZGFQWXhudC04MlZ0ZHlMUHBRWnN3S3dwSHZnMUtSSQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,1,2
Lipstick Under My Burkha,From Bulbbul to Lipstick Under My Burkha: 6 Bollywood films on OTT you should strictly avoid watching with family - DNA India,13-06-2025,DNA India,https://news.google.com/rss/articles/CBMi_gFBVV95cUxOY2x6VzJBb0pFSmNQeDZxRnpuOE4xMFA1MEo1S290MGlLRVNTWHN6SEFKbmEycDJvSUhLMFV1R3UxbC1YSkhweFVaaE9wOTdrbXpUMXRTMlBxQTBCMnRWaVRfeHNfZFEzUVNabzg3cFZZdXNaa2tlSGlvZndWd1lYS2cycWtfYkVIWXhDTTlaZ00wZVVxbHZWeC1BbG1CTUN6cjRJV3M3MnV0aGQxTnQtX2ROUkFPeldYal9RR042aE02czFLMTdEUnAtOVROOW5JMjZiUU1PdjdZamNxd2FKQnk3clJMUUUzaTlUeElFcmZJc2p3Rkg4ZmZYam5uZw?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,"Too Much ""Up-skirt"": Lipstick Under My Burkha - Film International",22-02-2018,Film International,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9oNmZxVl8yMWJEVm5RRWN3Uy1sc3lKX3E3V0syZjQ5RDdzOWh2cDdFekwwUDFqbnlaTV9CdEZRbWNCeDhabWVmNmFYLUQzZlktTmNn?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
