Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
Padmaavat,"Ahead of ‘O’Romeo’ release, take a look at Shahid Kapoor’s 7 highest-grossing films; 'Padmaavat’ to ‘Kabir Singh’ - Times of India",11-02-2026,Times of India,https://news.google.com/rss/articles/CBMipgJBVV95cUxNNG9IZG9WZGFGXzhTOFFoLUdfR2tUQk0zQk5tV0Rxa21GeTgzQ1FfZnlJSlpCVzFBbmpFT0dsNnlzMEJaa18tSnd2WnphLXh1N01OVTBoQ2k3cG44UDNwNGxkX0luQlVyNUNJYl9qRlBuZEVyUDNoUVl0anI3ZHlYNEE2UHdEVW9WX3ZTd09iaW53UTB3aXNoMXBGck5nbEI1NXZ3MTRvZnVLTGxfc0JfRGhtZ21lQ09QX3RlTDFEeXVidGJlTUNwQ2NvVHA3ZjZvMk9KRzNXUHdwT0FPcVFZelhqZ0hSNzhlWW00RmNtUW5NTmhSOF9XblpJa0JaRG5uemhMcFppUVVnYm9QbHQ2Y0R5bW50bzRfQTBIRmUtMXhSYkk3RVHSAa4CQVVfeXFMT0tBQnpDRDZhTDRkaGNxTHNTMG9tS0ZUZUJZQ1Jia2NzaEg5Y0lNYnNKVVQ2V3FnSFY1Uk9pVWZzUUM4TWhVMWJuanJMOW1RejRJdnNYMTVraTlMMVdzNm1kdFFvVGxadWZvUEhGaElCVnhGdXJYYU5peVlDNGZUM3FhTzFZWW5HaTI3X1hNTEF1cDRWaUNSeDRaczZ1RHFfQ0NSLW9xMDlqTVlZSEtKZ0JxQWhZWC1VY3NjNFZySS01dnBNeGhhYUF5VmN6ZU1hZ0E1UGFkZ05sOUF3Z3hfMXlGVG92Q1ZMQ2ZIdGlPZHNsZ3F1dFZFemFuaFZoelpOLWYxODNXZWVzUE5RVU9mRlVjWnJWMV9xN1lfOXhRdGxNelJwOGhyQ1FGblBZaGc?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,"Border 2 Box Office Collection Day 16: After beating War 2, Sunny Deol's film joins ₹300 cr club but misses Padmaavat - Mint",14-02-2026,Mint,https://news.google.com/rss/articles/CBMiggJBVV95cUxPSlJva012dS1XWUxvTlhLT3E3bm1XSXFsdzZmVmFXeXpHazZUby1ITVhfSk84ejk5dW0wZ0ZWSlk3dlF2QzF5SV81bzhycjlxMEZjdEpVc0RJOVloZS1KWUdxVkZEaDJWOG5jVWdYSHJNZVFNY2pQVGxBbnBteHktR2JEZlQ5TnN0Z2pUYTlhTl81TFAyZHdmVE5vX0dIdW4zTzRydlBPY2ZrUEZ2WV9QRjQ1S3huSXFaUVNZSlVGTnVFZW9BZk0zUU9oblQtWFdQRUJUQkJUQVd4Q3dPMVFKSTdxRjdJSmtFR01nbE1Qa2YyWFFVdUt5R1ZoVWYxRnRJNEHSAYcCQVVfeXFMTVRMbVRaMERRaHVuaE9FV29PcGhFZ2ZjTEVfVnl6WVlUdFFvbjJ4dVNSYzM1aWZLMDNZSXRnWUxlRGs4WWNveWR4dXdBelJ0eGdORVdWUE9QOFlwOHRKdkc1Q2VLUlh5c3JBZTlVVUJpNjQ2c05qX3NfWjdnbFFCUWpjQ1NlWjJkTVZIcW9lNm1GeXVscDJHYWhHWDl1V2xYMGhYcjJZOFR1OXZTV2VRV3pmNk0xVWNMNUt0UWF4ZG5teHF6M2s5ZHBpTzNZeTRMUm9ZeDZDUXNNV0dHUzFEazZBSkZfN1NvRnRsSGM3Y2pwMG5wVXBhcHgzelhIR2YxZG5vZWM3UWs?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,"Before Calling Kartik Aaryan 'Terrible Actor', Prashant Narayanan Roasted Ranveer Singh For 'Method Acting' In Padmaavat: Woh Aisa Koi Mindblowing Actor Nahi Hai... - Republic World",14-02-2026,Republic World,https://news.google.com/rss/articles/CBMiswJBVV95cUxONFV5RFBLMURPQUwyRUphR2Q1WFQ0UmpmUmI0LXYtQTA3c2JtOHhQRW55SUxtWXlyYW04U0NPMlZ3OXJNeVEzajI3S2dGbmRkLXg5RWE4eF95VXYySUZlaHJPbE1xQll3T19lSkVKSy1ONDgxdGxWTkE0aDFKTU9lM3YyNF9EQXBqdHVEYjNQMTZwSDRuZU9HVHZWOTFsOTRzanpXWkFLU010bzhZbTE2aFVJTTd1S2dPZW9vSW5nUWloRDFRM0ExRTVsVUlyQm81TDVkdUd6TWt1eUpuV19ha08wTDlUSEpSRDZtcjZNeWRLUGN2SEhIYnFXWXF0V1lLLUNXWDRvNWZPckVIMENKQ2ZiTlNFQmdxOWZmdTZMSE1WdnJVTmN3S2J0WjI4SHVMSWJr0gG4AkFVX3lxTE9TYXJMNkk3VloxcXc0N001RmNzdzF0TGVMLUNvejF6TE1EX09uNzRtSll0SDNjVUR2b1NjeVdNek1rUi1WNzBxYm1tYVRHTUtfejZacUFUWjB1c25JbXFpLVlHNXRtUTZ2VjM3MmtGQmV0blRVejRZWXlTSmc3d0ZDdER4YnBrcXJHS09oM2RacFBRSVFPVmNiNi1JV2VXb3lobnc4Qnk4dlJiWFE0NFItSktDTVZTMkVjVU5pZmFhUTdOVUpNTGFKOXhwTjFWRDRXNTMzemF0VDhMWWJRM2FiejhYWHBhZ2JONi1mc2JSWUtCdGUzcWlpRzFyU2lLS2lfeHYyVWVsWHdHZ3NzVXRoakVUVWF2d21iWVRaVlBDVVI5QzNZcUxZSGEySnZsWUxjSVE3UGpuVA?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,"Padmavati to Padmaavat, Mental Hai Kya to Judgemental Hai Kya: Films that faced title backlash before Ghooskhor Pandat - WION",08-02-2026,WION,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOZ2RyVFRDalk4ZnVIQ1BiYVVzd0h0RDZSRm9jWklyRWUtVDI0cGtwYU9zRVpKVmRkbTVoczJITEx6YVlWM0FsTy1xR3RNdEV6amYxcERVTmd0LWd0Q3AxZlFva3VhQUlUd3J5b2ZhLTlralBrWHA5WFQ0UHlQUTZxVk1RZlIxY2F6anF0LS1QNEFUNnRFU2U4ZHF3Y1gxLTY0ZFFRY0puX0Q3eUVlVVc2Q0gzVEU2andmdHlZZE1aZ1YyOUNBT3I4d3RoeEdRa0JVQjNialo0WDZHQWt6eTg4LXpLV1FxemcxZmJYemh6d1kxaVE?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,0,1
Padmaavat,This store in Hyderabad is inspired by Sanjay Leela Bhansali's Padmaavat - Architectural Digest India,28-07-2025,Architectural Digest India,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPRjhlcm9UNDBXYkNqei1DRjBSZzVpLUNtTHczTHAtck5hb2JVRFJYOU9DaXZuejZPODZEdGNnRUhtWkpsd3c4Mm9DNzh4dW9NSlN6NUR4X3BDQjZ2NkU5N2kzRkVBZ3JpMk0tWkI1dDFkSEtDS3NvSDJ3MlBtb0U3YkxxNzZkanQ1TGUxbWRQY2tYNjNGRnJSUUxnNkRCbGNKUUxDTHBqaVNkeTNtVVpBVll6MUZjMVV0bVJGTXZSYXFVbl9SNVZmR0ZYQzhWQ2R1U1QxQ2dJMA?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,"Border 2 box office collection day 17: Sunny Deol, Varun Dhawan film earns over ₹309 crore; overtakes Padmaavat | Bollywood - Hindustan Times",08-02-2026,Hindustan Times,https://news.google.com/rss/articles/CBMimwJBVV95cUxNU1ViVmNjdzUwTWtfa3d3bS0ySEVrUzI3Vmx4aHlyMmJQN285UWtPamN2XzlBbnhlcGQwWC10c2NHMGxlQnRzTVV6Q0FuVmhHSFF2YmVnX0lHWjgyMHBDeTNvSWpWYmQ5bVlETnY1UnYyYTNGUkN1cWRJcGE0VUgwbkd0aHJFUmlhLWtGckgtNnp2cWdWTHl2bmVWczdBYzdONmppRmNIdmRVMFFDY05YNnZGUHpLb1g2bUVWV3VZQ082eTNpdlNBbFBaWV9zY0ZKX3plcWdVSVYxRlNjMFhtcWt5NUtXdm54VjlZMlloM09LelB0OTZaYk1uZHVtSHhSQlR1dk9fNUIxN3pvNm1mU2xJaldKeHkxdy0w0gGgAkFVX3lxTFB3ZHRyY1pBeERpeVdJT0NHRjVQMUl5TGcyUzJ5cTVDQWdOMmJRTEFzNlh3LU02dmxjSWZycERvWU5ta25oaVBsZXRXRlhpMlpDSzlQaTM3OW1zMmZjeTAxUktaNlNHVWg4YXhmekY1SDRqbG1ndld3MFd1NXpEY01aR2ptaUx6ZnZPX2RGSjh0akZPUzJod2NFZzV0bWtQUkI5NE04SW9UdGllYnZMbjh0V1FFaHJEVzdVdndoUzBwSUQwTkt3N2Y4SXhaOFhPclVFUTh0MnJxSnM0RmVCcWVLRkJYUEdVVVB1dVl2c29SWWMtSnUwNlhVTEZIVXJlQndpaE9zZmNudlBiajRhS1NUNDhhZXVkckhYMEJpaHZyYQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,8 Years of Padmaavat: 8 Lesser-Known Facts About Sanjay Leela Bhansali’s Cinematic Masterpiece - lokmattimes.com,25-01-2026,lokmattimes.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNdHFxRFVaYUFBY2dMVkFDdmlTWjFqQVFyeHFYTE83V2FMWHVlam9oMVhUT0FWZE9OS1dfYm5lRWZrMFA3eHBjMU5XUUFKUy1DSVJtcFB0a09jaWRNNzl2M09vRFpGNjZMR1YxejhaaXFaVS0zajBBSUQwdUZQQzhNRF9IekZaamZnUFNNR3N4TkwtYVZxNFZfelFJcEIteW5WMjM1OU40RGpOVGlaRWtBc3M4UGZaTzN2UDV3eFhHRFdDVmp3Z05ncFc1UWFKdmF6TGt2aFo1aw?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,"Border 2 Box Office Collection Day 17: Sunny Deol film overtakes Ranveer Singh’s Padmaavat, inches towards War and Bajrangi Bhaijaan - news24online.com",08-02-2026,news24online.com,https://news.google.com/rss/articles/CBMihwJBVV95cUxQcms3N0o0RGN6S290Z203MWQ2UkdPbFdVQUtwcW01Ykh0WmU0SWhzNVRjNnA1X0NFUGhYNnZLcURwUXF0S3BWeS1rek5wcDQxSGRpQk9hcjVsYzB3MGNhTEpBdWpmRTk3N25tTC1BNXItTHZpSlNEMm4tTGNncFZreDBXUGdlZmhzZ2xJWll2d3hwaVYtSFBoS0taLW1nQ0ItYTQtenhxOXJ6dXcyZTk5NFBVUGhxX1ZuRnZ4cExCS29OelZYdlVuOHhjOFVuRmV3Z0ttLXdQYjR6d1FCNlVKLWZqYzZsdGdUYjdSUXJtMmlBQ2dOc1NQOFlqc3Baamc2bDl3MXh0a9IBiwJBVV95cUxOb19TbHRPTWo2Tm82SHg4RVdOWHhzbm9oanZpLVJWQzBvb0dMdWNaZXE0V3NtRWdmM2JFRlM4QlVOc20wYkJ3QzBlRnN2Mzhkc0dKRHd3RVJoVk1wY0JQVTgzVDdGVHQtdV9QWW5zVnhIcWdlQ1BDd1hyOFROa0tvejg3TUdqN3kzd3I3OTBUNGt3V3V4M0U0S051U2VMLWNrSlpFUkMxYnFabHpaLTUwVUwxUXlmVERUdXVhbEJpc3RNVE9FREwwUU5pUzMwcDBPRS02Y20wcGJvS1d6UlhrTWxjVTNoVDRwSVZRRGVMOXRQalViLWFUX3Bxb1hJSUZvWWg4MnRzQjNCWlU?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Padmaavat,Padmaavat: Why a Bollywood epic has sparked fierce protests - BBC,25-01-2018,BBC,https://news.google.com/rss/articles/CBMiX0FVX3lxTE8tR0JPNVgwaXZvNG9BOWpDTjBlUXkxSlVYQzJETVlnV0c0TEt2OExSZXZJdFlVOWRlakRsblVueWdQa3BvX0pwM19VOEhteDRGNjRkV21UWUJ2OGVzbUtz0gFkQVVfeXFMTkg1MERZSVktc0lkWTB2OUZUczFuZXJTNFE0TVZveHRmNThhTXBORW01NkJBZG4zMy05LS1xVEpaV1FOTTNDVmNIUEprVG1HZ0FSWTRaNXdUN3hRRWFEVTVhZzBjWA?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,0,1
Padmaavat,"Padmaavat on OTT: Here’s where you can watch Deepika Padukone-Ranveer Singh, Shahid Kapoor starrer amid theatrical re-release - Pinkvilla",07-08-2025,Pinkvilla,https://news.google.com/rss/articles/CBMiigJBVV95cUxQT0s1YU9zbnRQNG1wYm9ockEwZWlvTk5iUlJQSHJDWUF2S3JDXzMxeTg4eHBiR0IzaE81Y3ppbkoxOW54clNueW1OV0p6VzJ1MldacFNrN0FtOThWYms2TmtMUVlMb3RpeWV6Q19kYzF4RDdwRWRPa0g2MUVPekFXWmt5N0FNUXpCa0FaaWNZdTl4ZXloY1VTMFNBVWtzSjAyX0pCajd6SW1zN3dwb2lWeFI0c2JCSmdra29WSXQwOGdEaWdMLWhxTFVCN0hGNUJjejBIOGVZTk5NWGk2ZGxpdHdfX242bUNrRk5oM1ctSFpWMjBTUWY2R21xWGdqRVY0MTlOOEtFTm5jUdIBjwJBVV95cUxOM0tiZ3dCdGg1OF9ESW11LWZWNmplMDNTVWVHZVFuOXRBaUtjcnRXbVJXVlNSemxCZE5NNlN2bkxHWmtHOTZnaFlUeURNU2FxcWctbVFkMW90Vm10LVBweDkyOWExOXJfQWM2bE9jQ1lpMFdud0JqdkJtTWYtcldPelBDWlpvWElqYk1QWTlEd1RBVWVfdEpNbF9XODBsWnpmUS12ajN2MDZjVWVRQTBMbk1PZ182ZGxxcGxnSzhGM09rSklaMW1wQjZfa2FUNkxITHhnT2JvMmt4OGo2TVktTXpxUVIwZlhyYkM3dnJaT0xkb1QwOUJSMnQ0aU4wV2hNMUFKQ0VHeHR4aERUZjd3?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
