Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
The Kerala Story,‘I saw it as women empowerment’: Adah Sharma on how The Kerala Story was reinterpreted - Times of India,11-02-2026,Times of India,https://news.google.com/rss/articles/CBMi-gFBVV95cUxNMGRIQklEZ01sMGZsWURYdkhiTG5nUjJ4UFZOVFZLcEpseUhUV0piNnUwYzZUZ3gxZkFacllqajNuVGJ1eVFOU0lZbW10T3ZBZjBRNHdyMUJOaXdBaldBRFVBVjFXWTVwZGhFd1lrZHRnVjZBS1BUWTMzeWlRVnVFbkJyLTdyVEFISk84N3B4dnF3ZVBDM0QtNDV6U1FqdWRWekdEQXowakdMb3ZoWFBVd2NWTl9tZE8xWnc1NWVOamRIajJhMlNxejQ0NHNkVTFfUWRnUGktVG4tSUhMaWVMQnB1WU5QN0MyVzdNQzlUb1NFUVZpcDVBajlB0gH_AUFVX3lxTE5ka1M3eHVtQkJPUFVwZHBVMk9LN21pb2VuazhjVUZILTJhazlCRGswU0RHanJlbFpGNU9KcjFvdWl2RkpseFlYc3BISXVkZUhjLVhWOHlFWUdpQnhmMU1INVM0QUdodm9yU1NhR1VQdWR5M25BWGFrenhCdU90UW5hb0k4SjZFb0xMM0VSd29FNG9NRDJxQXZYR0c5VHdkOVBMeENubVZVdWs0Y0tHZzBKSExxRlV4UWh5MzhHOVg2ZUFfS1VDczY4WXhERjhUUzRuMWxwYTVxbDhycDIzc2pUUGw4REZIc1pOQ2F1MWdtc0Y3N2xkcXotV1hnalRZbw?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,Kamal Haasan salutes parents of youngest organ donor in Kerala - Cinema Express,15-02-2026,Cinema Express,https://news.google.com/rss/articles/CBMitgFBVV95cUxPWDBfOTk3Mk9hNngtMDRPeTlhMUdONTdXYjl3MG1QNEhpaU45UktVSDVVQXUtMkJBTHY3SkV6a19CLUdLWUtUUzF5a3E1bzZxdkZIOVBvclVjR2taVmNlbl9FQjNCVkNMREZweHJNcXdiUHg5MEozVzBUSjBEbnU5TXdpVkNCN09xcDVIVkk4NktfT2Yyb19nemh0REl0RFM3QUdtQXlKNVF1N0RaU0tuZ09nYnU1UdIBwwFBVV95cUxNTmdHSkVVLWhvOUFRVVoybUdhTDk2OG1zR1I3YV9YbjY4eFhYcHdVZkdBeUR4U1RZR3lWTXNLVjU3bHU1UThuSnhtaXFYb2d4YUFaX3ZKbDVPWTFTX2ZtRUVvWlRTMFVyRDZzYWhzWFZ4TThxUDR1bzEzUmQzd3NuYTVQSnk4V09HbkNWWDVuN2pCeUI0ZmgyZDFxZTRPbXB0c1NrQi1EbU1XQklIdzcyNi1uODdubGtIZWl4OE4zeFlQVjA?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,The Kerala Story sequel shot amid tight security? Producer responds - India Today,12-02-2026,India Today,https://news.google.com/rss/articles/CBMizgFBVV95cUxNUVBIVVI3bXFKN05kT2pEQ2RjSy1CRHpKVmtPaXRJWklKZTBuUnV2LTNoNERjQjBaWHNTbEF1TDI3MU5YcDdISW9CUFdraWpjYlFtdy1wNC1Ha1V4VkRlNFZhMTFobW1xT3BfTjhORk53U2RFR0RkV3BOdUZQcF9TWS1vUEdzb2JrZER5WmlGNTg0SU5ER2hXODFzQWZYU2NsRmJpbmhqM0htc2pVYTBPZUtmSUN5SVBrMWFxaTFZdWhJR2o4ZW1tUnhSVy1WZ9IB0wFBVV95cUxPOG1scHU5N0FYd3d4WkE3cER5NGh1NEdaZ1hBZG1LbTYtN21SNTJuMTVkZ0RzNm12SjdPYVBSbUczekZQRGk1b1NUeDNBYTFTVnlrUEpGUXc0SUdmNGZFSGtvanBmOHF4eURpeDZaZXFzUGJPMnhQamZJMXVfQTZ6ZFVDNGVmR3RMbndhSWdoVlVIMXFnUjZUQTBMdXNZUFVkWWhxdW9WRnNnalNLdmdkV0lBWF9HTVpXVEowc0dLQy13WFVja2phb0tpRWpnd3JDemU0?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,"Vipul Amrutlal Shah reveals real court cases inspired The Kerala Story 2: Goes Beyond, says “We have... - Moneycontrol",12-02-2026,Moneycontrol,https://news.google.com/rss/articles/CBMiwwJBVV95cUxOZ19rdl8wU2dnakNOS280dWhiOEczaHI5TXZwS3RpV2I2eG85SkFFZXhPYkd3TDBPZnR4blYyeEhyUUktMEpEb19NdDJSR0NGNVhtM0lVSm5ld3pydV9FQ3k2ZWw2OVdxUHJaTVRfbnQ1SDQ3T19CVDVQUTV1dlhVbW04ZExqMHVJbV91UlA1emU4WXdNMXFwTGwtaVFULVh0akt2SkdWSzhpSEE2NHNlRm1adjhkR0hQa21TcUNGM09qRXZ2bzRFTXZHaFBDTXZXa0czN0NWZlZJQmFnaWxDVXZwcC1BWElhUDhZQUFoaUFNUG52X1NVNVVMbkV2eU4yaFlMZ21ZRjNneHh0Mmw5eUJpc0tLMnFHa1ZFdG82V0hrdmo0ZDF4VWNmUUJPeHNobmV3ZFVhdG93dEhhLU9lVm9xY9IByAJBVV95cUxQS2Flc3BpUmlDdHRIZmxpekk1MmJiODZMY2NzUTlMWUEtSXVpMHZrRFlhSkRDa3FfWndRTG9sd0JJSkp2MVpna25NUWZ5V0Z0NnVkb084RjR0eXEyT2c3b2diYWtrak1vRm1jUTNZWmRkaS1JRFpsVmtvRjJfbDNNeUIzZUFBSXNfenBvbE5VSGdQdVVHT2U3RmQ3MmwxY1loMTlOa3hROWZjSjZVTGhBTHlHUVdJTDhCZGJpcTJNUDE0dnJzdjRwTmNVLUdVMER5RmZrWS12bVBPb1ozNkpSeDkzSmhSVlg4SnBaVEljXzR2RFBaSHN0eENwdXRuNzZpbGZ3STNRWFVHaVh6Qlo2NFJMUGhQdk1NY1FPWHF1MWpsYXBjNkZab1VhUjR4UGNILWhLVy01RU1LbExDeF94djRsRkdhRy1x?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,1,1
The Kerala Story,Vipul Amrutlal Shah says The Kerala Story 2 is inspired by real court cases; reveals 6–7 months of research - Bollywood Hungama,12-02-2026,Bollywood Hungama,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOVGh2TGprU0JGRFdkZmVrTlRPTElhS3FVdi1FemdxUW81Z2tvZUFmaGx3dUhHbHFnV1BsZ0JRdGpYb0YtTU0zSGprb3MtWGt1MnhKNklyS1dOMWQwVDFlTG9ydngyREdpQXpOUV9BZjF3bkpPWnR1UWZvcmo1dno4NjczTllRVExhY3FFeDVtUi13U2RXTHFUYjhhb2tLVEFTcWs5ZWx5VTFNaXFMWUpZTUlROGNkWTl4eEhkME5yWmk2TnZwWTFFbFNVOVlZM0ZNOURsRkczUVDSAd4BQVVfeXFMTTdISlNYYmFPZmNzTHk5LXFfbklpVFlmc3lZdWZrOFdqbkltNExzN0ZsZ2FVdVJVMDFlU1BtS1drUl9veUxXUTJ1ellBTUlwVmtHX05kT3VpdlltdGdIZkRjWVhJNHQ1SVdMSEFJdzNHMUZGMlNxOUR4R204V1pTeDJ4ekZ1M2ZwMGhrdFk1RjFWV2xzUFZmbmxYeWpZNTAtNGxwdjdyWmpGRHRnbTJoOHJaanFWeVJjTUJKZTk3T1ctZEt6c25OUHBYNTdqVHl0d0NmekFDR01TSU1yZUdn?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,1,1
The Kerala Story,"Is 'The Kerala Story: Goes Beyond' Based On Real-Life Incidents? Producer, Vipul Reveals The Truth - BollywoodShaadis",11-02-2026,BollywoodShaadis,https://news.google.com/rss/articles/CBMinwFBVV95cUxNVGtUUjM2cm44d1VROVMteUxqeTVfbWcydFpPYV83WVVMRDRLN3MwX0JrUENFNDV5bmtHa0lYZGRDZVZQalNOSmRTYXJSOTBqMUcyX0o4QjE0Rk5feFJkWE9UVEZYdzdrUm5NTHNlSEJOWFhGdjZEc3RNZDZrRVkyMkV2aWZLMGRXcEYwMkVqZ2NDSVhSaTY1bmFNT1JVcEE?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,The Kerala Story 2 Motion Poster Out! Vipul Amrutlal Shah Reveals Shooting Commercial Action Like 'Commando' - Bollywood Bubble,14-02-2026,Bollywood Bubble,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNcTJhS1RMQy1SclU4NDVuNC1TRWtiYkF0dENEUEpVWVVBMWM2WEw1UkpqMmVZSWdOdWF3eGlvcktIZmpzVGN4R1ZQRUxpaHY4bFpDVjRsNHp4cWw1RUhWc01qZnJ0WjRfMHdmTFRVazl5ejNLMGhUdUVycHlEZThzV0NKU1cwdHZrcWpzM2twUW5Jbk9KNURGMlo3elQxUDhoQ0NIcElUZy1WTkliNHNsdFZ5ZkFmbmtSd0lTdzAtdjAzb0hKQkY0UEVUZGVIRGtMTXVQY2lyWTJib19hU0hYSldXMm9ZMTBs?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,'Met Various Victims': Vipul Amrutlal Shah Says The Kerala Story 2’s Cases Are Meant To ‘Represent India’ - News18,11-02-2026,News18,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPcWxIY1NBOXNHajgzeG1FMzFPTngtYTVXLTFVX3RfS21uV0NXRXgzOFNIQWRUeDhuTUVpcEFLX0hkNzZjUDZoV0FpMG9RZ1pNY0sySzZVVThHdUVWd1RfRkFKM1VvWW45dGotVWdJV19JdG9SYkpOeVN2Umk0dlNjVFQ0bW1RMVNxZ3BZRkVlZS1xai1CWkpqWEFtUUZHYkh6MVdIWFJIU1gyUjlNdUt4YUNtbXdra3Z4OHk3clk4RXJRa1V3RGdnbWg1anNjczFzellPcXhYTzVYWDlVUlFDN0cwVGQwb3ktVFBFZVBR0gHzAUFVX3lxTFBrWW5Od1JuNXZJYm5mN1ZQcEhaYTBkU2pPSTE1UXZFX2xhT3ZEUmN1SUFxMGQ4M3F6RTRVRllxSXF2c1pFMzdNSm9EMGV1NzF3Y0hOWmU2cnNNdmNOM3VsQXpBYUVlNEYwakh4RWtqRnZDV01wT3FRcFM2cTZ2dllUcWl4OGcyVmJWNE9vV1l2aWM0NU5leWFyRWMzempPMGRFd1dXZDVqODFkb0FvSzltSFZENS16cE81RnVsVzI2TDNVZTdueDV1eTBEdlFsT3p3VHVkT1NSWXc2RXh6Njd0NERiY1ZzdnV2c3ZsNXhKajhZQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,"The Kerala Story 2 Goes Beyond Movie (2026) | Release Date, Review, Cast, Trailer - Gadgets 360",13-02-2026,Gadgets 360,https://news.google.com/rss/articles/CBMifEFVX3lxTE1iRzBqS000SU5LXzJyb0RYS0pSZUQwbTRueUdJaFpmcEhKY05vX0FiYjQzQ0xMbkw5ODAzYW5EZWFhczdVVHRYUkxSc2tlZUpJRVFYUWRkMXpKVHhIaDFEU3MzR3l5c0VJRTV1MHJXTER6T0xLZi1xaGhDMFc?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
The Kerala Story,"The Kerala Story 2 Teaser: Ulka Gupta, Aishwarya Ojha And Aditi Bhatia Fight Against Conversion - NDTV",30-01-2026,NDTV,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOV3hhUDNKQzBoanhzLTEtcDVnWklLdXpqSTIzLWNSd0ZxdWNKcEpGYnpXbVRaSUpkLWttZlktazd4UC1VenRCdC10RnFEeElvR05tZHhwMFA2MVdMTEJVUkFOWU5iNEJGcGVaNUUwWUY3cF95V1BCMVVpcGtaelNJQ1Ntb0Z4ZllHVTZzV21FN1RzTmlrVHFFYkVBZE1Ma2Nkd1JVdUc2NFY5Smd4a3R0WFhhazFweEw1ZjFqcHk4UUxvMDJVc3hwT040cS0tWFcyX1hR0gHbAUFVX3lxTE1NRDUwUUtxRk8xN0xOQmJuSlc2bmxDZENkem1tQmpIODMzYW42YWNzemFFczFNNkhnLWlxZzJ6RGFfcWZsZDFEenB2SDBVN1ZYT2YtTnVZZUxtYUV0b2YyaXF3d1ZlR2l1SmV1WHA4WTVJRDd4SVhyQnZRMW8xT3ZSVnFUbWpPREdGeGxFeVpya3d1dXFqZXZMMHAtYWVXRTNpeGlSS21rM3J2bFZSa2JfMmoxSlpEc29wemw5N1IxTjM3S1JxRDdSRERyb2U3aWlrRDFOMFY0a3g2WQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
