Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
Veere Di Wedding,"Tamannaah Bhatia, Junaid Khan to feature in 'Ragini 3' - The New Indian Express",13-02-2026,The New Indian Express,https://news.google.com/rss/articles/CBMiugFBVV95cUxOZ1g0MDRDSmoxN1YzemFrTEoyVVNOZHBZMXVrOVAtQjNfbzVOdGdETEdMM3VrUklxN0lOeF9URVY2amlwM3RsdG0ycmdFNjgxajkwa2RhM2NSc1lNTFVYTFc4d0pLVVQybVJHN2ZTYjdKQ1N0WVkxYWFOYWEtQm03N3JOd1lTZTloYl9LOFN0M2QwNGlwYVNBaUFWY2tfbk5WTG16Z2czRGJJMWxpSTBvZVY2akpaVlB3bEHSAccBQVVfeXFMT0xBdVR5TFlVaGlnUEpOWWdJbW5nYVQxQkpCeUl4LVo5M3F4UWFobWdpNXN0UU5jRlJIdW1NdGZHNmtGWGxYSEVvLVp1d01VQ1VSUUM2Z21SX01HbDFlWTRrWnkwVFlWbUNzNERiR3FwOHN1dTlKbmJ1TUZSZGw3ck5GRW1fV1dfVTBTLUFDZWRCbnB6YXQ2RkRGQUktamd6bjFXYl9PUHI4cW9kdzVjdlotbkpJeTRBUkkxdGpUeTdMUTY4dFlsOA?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,Sonam Kapoor shares INSIDE PICS from her Godh Bharai celebrations; host star-studded puja ceremony - Times of India,09-02-2026,Times of India,https://news.google.com/rss/articles/CBMinwJBVV95cUxOY3dyeXNmbG13OGgwLXN5Q3lQbjlUenI2X1FtMkkzR1hKa0kyN29Mb0F2TEppeEdYUF8wUml6NF9HOWg4MGx5Z29GUmYtRmFvUG1RVk9vUXhDa05vTDAxQ0pOUDViOEFUUDF2YTVoTWo2UHZlT21CLWY1bTI5U0R3NGtxRVdfWVluZXNJSlZYRGJGQjBzQUthU1BHMjBIZnUyZ0JxdnA5Q21JTWtJRklENjZXVXpCNl9VSC1QcFR5WndCQ2E4LVQ4QU5QVkdTSjl1UDZZNWEySlJXRXR1QkNkaV9wU08yR0RidUlvSmN4NjlUOEVHckllWnR3UWdtbEQxamlKakRKSFE0ZmpSNTVyZlczMXZ1TEhJUEpRekJwc9IBpAJBVV95cUxOVUp6dGZwX1hwUVo4b01WLUxjRlhBbWNXOTlQZkRMYVNPclJ1Umx4a1ZWSkRqQWItTGNrTVRhTVdwMUctc2JKNTlaRVd2YlBud1R1NVV1TlRiMWVRSzNoYVBVSFhhQkwwMDA3ZlFEcHVyX3g0NlhDRTFWMXdxMzd2aTAxUnF3aHNoUkE1Rm1VQm5mWmZoU0J2bmFQV2tIcjZBRktPMG8yeUlwRk43aEhhWEhkeDk4MTVWcndyTWxra0tLMGpQZGl6TU9NcDhiYTJ6RXNuTVNTT1ZsN3VONE56TEtIbnBqOHdyTmp2OXlmbHhlSTBuUG9MZ25hV3FQYWZGV0U3NExDN0Z1bFhoUmkxdklKTG91d01BWjVrVHVGaWp4RVRn?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,"Veere Di Wedding Reunion: Kareena Kapoor, Swara Bhasker Pose Happily At Sonam’s Birthday Bash - News18",09-06-2025,News18,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaS10ZTVvaGIwYXZGTzZmZ3FyeEZFbU5Makdvak1XSGQ4WlhKQVpDc2FuZk9NNGpsSHhpY0lzaDk4SjI5b1FrRjJnZGFsdl9YeWJ5TWdFR3pMVFk5MHBBMW1WclAtNlRqMFF2Nzc0dEJUSEV6Z1liLU4wT0JJQVZLZGtCZVFxOGxWcEdQai1hQWxzbkQ3S1NyNEtEVnRPajdmOVVtUFVfUjhYWTBZRENqTFlTVjZhYUdzNmIwVGJzcmpSeUVHX0NObFFKWUxJRTkzd3BtVFRQVWxVdTBqYjMxNmcxd9IB6AFBVV95cUxNM3UzX2VzNGtPS1FEbWRBMTRzSU0xenN6SnBCV0ZQUXBIdXhOa2dYSEJ6d2Zzb1lfajJDeVQ3VXhmN1NueUY1Vm1zcHdPLVdSeFMtMDZEN1p0ZWZHRHJWcGFiS0RGbmlWbV9LZVNMRy1XeDRleV9CM1YxejFYeC1JOWtCUHByYjJpbWpjWC1BdHU2bDRsTGVNMDV5dURPMkxudmtGTkZkRUEtUkRDVTJJVGlKOFFhN2FJZDZaLVNsRHBvVTJSQ0tENi1tdXlvcTdUVmVVUER5LTZzZGg4eHdxakJLM3dEOTRx?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,Inside Pictures From Sonam Kapoor's Baby Shower Show Glowing Mom-To-Be In Pastel Green Lehenga - Republic World,08-02-2026,Republic World,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPaU93M1lhNExPTVhnYmNXaG84VTFrZW1GelFZSEhRWW5jTkJVYzhKN0xlSTR0NDRlUkk0WXVHX1lCSjR0N2sxZ2VDdmRvM09iMWZmVVYwVzd0dWxvWU9lMER3d05sUEVNZG5oMkRpcElyMGhhbzF3MDlfTTJaSUJvdF9FTjU2UTdHMUhGdUdwUmQtbGk0RTE2WVpnQUYydUNtX3ZNZHo5dGZpV2tuYXJCMEpuYmpBekQzaXFudmI3eG5fN3h1WEZFeUFrMGJNMDBtNnB6RDVLUkV5Z9IB3wFBVV95cUxNMTl6Vnh6OUlCdkhJRGc3dkl4UXN4dWhDSnk5TzNqajhxR1JtREhBcWNRUl9MVjhHNXZiZnZUQWJ2ZFp6dDZlV2xGQ3ZnZFZjQVJxSmNLRVhIeGlvMlJaV3NNX1F0eWtvaUh5cjI3bTZTRGxJYkwxbnppVWZRQmkycnJoRTh1c3B6Z05iTFIwVUJqcTdhcFZfcU13bHJhVXBYZHVoWDRrdXRZTUxrWFFpRmJzTkVjZTVjT3BaeVQwOEotdVJOQzZZWTdJanlKSEZ5a1ktVWF6OVN0Q3BRd3BN?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,Veere Di Wedding: Kareena Kapoor Khan and Sonam Kapoor unleash their inner Sexy in new stills from Tareefan - IMDb,15-04-2025,IMDb,https://news.google.com/rss/articles/CBMiUkFVX3lxTFAwSmR0SG5rTUhna3dFaUJ1bVBRX3dPTnBXOUN4MUhLVllLMHNOdzRNcWhQX1BleXFPdm5xNF9SSzJMWW02VXY4STN1RFc1TV8ta0E?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,"Kareena Kapoor Khan drops unseen pregnancy pics as she joins 2016 trend, Saif Ali Khan holds newborn Taimur, netizens say, 'everyone else can go home' - MSN",16-01-2026,MSN,https://news.google.com/rss/articles/CBMisAJBVV95cUxPT1BjUmRybkpwRnFSMk44QVh3ODhpSHNVRnh4U1ROYzNCdF9QS0RBRE5veTJvMFpTSWxEVDJfYTRjTnJEa0lHU2UxNnV1ZElXMHE5RExmYmd5ZDJ2N2VoeXBaRVhJQlpBNjZZbzdxd3FMVWNNMnlQSFhFTExpVExvQ3ZfUnJTR2pQdENkUUZ0bzZrRFozVWpmYzVod1JtZUJMS0pySzNuOXVfYkxyMXdBWURsUlhZOVVmVUlRMmRwSmtfYXBLM3J6b1VCQ25HNlNaY3k0TXNXdXp6STk1ZHVoZVFtU0V3RjBSN251aVBxODAyZDhsRlpoZkpyeTB5TUx1eWZxSC1XZTg2WUR6NUp2OGtFOC1mX0w1T091X3ZLNk15VlF5aS1OWlpaS2lmeUE2?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,Veere Di Wedding Is Nothing You Haven’t Seen Before - The Swaddle,08-06-2018,The Swaddle,https://news.google.com/rss/articles/CBMilwFBVV95cUxPRnFfSFhpUXJKRzd3dVdVeWVxMlo5R2ZZdXRMaTl0VlhBaXNZS2RrSzJNY2hRMFZtMVpxNFB4SnZnVm5uLUdreGxERkV0Qmk1Sk9ycTh5SGF2N2xwanVEdVZNYVVNTElralRHR3Y2UWFOaTZPZGdwbHNCLWM1b3BDeWRDdnJocUdzYnJ1amdSVUV0VHhRY25v?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,"Veere Di Wedding trailer: Kareena Kapoor Khan, Sonam Kapoor, Swara Bhasker’s stylish movie is high on drama - Mumbai Mirror",14-06-2025,Mumbai Mirror,https://news.google.com/rss/articles/CBMiiwJBVV95cUxOdDNsTm10Q3d6S0JwaWs2b1FQUVNReXpXRGlEQzJxN2FoSVZ2NUJKTXFzZzBfalIwM0NkaHRCTmJyYnRKN3p5S0J5bU52dmVsZjJXMzJTNDY0NWhLSkVIeTJRdVFJMHF4ZzlSRnFaSEZxOTlzVnV6TEhxeWl4WHBDdHRxUHkyaDZfM1V0eERZWHBlaHhvUEY5TGJDeTR6c0dsMVgzSkdqNWgtZnI4VlFNdXVxU19YT0ppU0p6T1FYOFJzMkRoYVZrTXVhVmtYLW9WYVJyNUV1RUdCdGZfY1c0Y1dkS2FhZC1mdHNuUGxzcmIzMUhHUXZBd2l0enB1N1M4RGpDZlBCWW5pcGPSAZACQVVfeXFMTjFHZlI5Z2EycHBoS2FRSXF4UHh4UTBWTTBMcFBqRGIwcDlxM093MlRvTjFDWTlmRFN5eE02X3Nqc1FHd2JaaGQ3bGRtaXdZMm11SC1tbXhMM3NnbXVtZ3BjRmlpbG9ZckxPRjRLNThRdllOOG12dF9meFdPZXZ2RkV4T09IZ3RFZUJwYXhWeHVIQm5IZVJ3cXN4T21lSXkxNlMxZDJSTU1MOGpzZGJxeXFaRzZFNVJ3RU9pN1JmVkx2Z0R1NHBhMVByVkVZRlpQTWFtQkw0YjFvNGhjTFpiU1BUdms0a2VFZ0V3WEhpV2lwY1pIUEJCSnJ6bU1uZGxvWUFRUzFmTWs5VmozTWMzZU0?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,Mom-To-Be Sonam Kapoor Glows As She Shows Off Baby Bump At New Year Party With Family - News18,02-01-2026,News18,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQdGR1bDdYOGZWWUEzS1d1VXFLS1ExeXBEbXdkQVpCaE1Mc1Q4RTMyZW5fbXpQdVR0RnZ1V1R3M2tmbE1IbFgxcUtDaGZjOGcxbUxJRF9ZYkhSdTNvcnRxR1FCZDFoakFGcHpWLURRYkx3RmtWTXVuZ3phUjVCb1ltbDlCVGZXRnRtcVBvM1lXQWE0bU05YXpKUjEzVUMtVjduY1M1U0JHdE1HQ1FiVXdHMTczNTR0SzEzZ2JraDFhYll4U0RCdzI2ME5xLUVVSnRLVVlOeXNaUGltZ0XSAeABQVVfeXFMT01GUDY3eG5BZzF1UnJLRGp6YzFLX3JZalV1SjNFNWJLM1ZkejBQaDVUTTNOVWNoUDJ0ZlhZYzRCdTV4MTczRjNicU1WM3hFdUtqQTQ3X0FDb09YWmlQSzNTSklfSEcwR3phRXdaYXlyMmVycU5MaDduNDc5YlNtNHJuR00zaDIyNXR2N0tyTkVZbm1Fal90X09ITXVqaVN2TXBSZE5XVlUxVlFneGloaC15S244TjF0REtQWnlDUk5veTlFalpfbFNoRjAtMWdSaW1GcHJpVlV1Rl9QUWFaMmg?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Veere Di Wedding,Sonam Kapoor Sends Birthday Wishes To ‘Darling’ Anshula Kapoor: ‘Love You My Angel Sister’ - News18,30-12-2025,News18,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNcnNWZ3Y0VW1oQkltazY4aS1aX0w1eWEtZ1BhOUtLQlVsX2w1SWRZdi15d196V0x0bmJxUGtZSVNFWXBjSUtLV1VPN2pKaUxaY2pkNkdZdG5hOHhxWi1RaTlPLXV4aWdjMHhYNlZ6M09FR3Nhd2hKQmpkRm5JenQ1VEw0dkM2NV8wN1pTSG8yaWxDUjlWVWlVNko2TGEydjBzd28xZU5fMkdEMEpiMkdyblVOZ3REeGl6QkU4eUdUamJuSDVvclBxQmpNamprYnp2VGxMaHMwMUduVEUx0gHiAUFVX3lxTFBNZ3JqcEpBYW5XRUZzb0dBcWh2dlFMb0tqU0pvb1Y3VU5SWXhMNVUwa3U2UDdzOTNiQmtBTnZTWWZpa3E1YXhVNnhZVi00cEdSU0ZuVHFKVjNfQ3Y1RmRrVmU3dXBiQzI3dE4zNVdyVlptQlozMDh3VzZ4UFRza0ZDV3ZlenVXM0dBVzNuRERTMzBfNXVfU2FuM0h3TnRXSHhRb0UwSmFieEFlNTI5ci1EQ3Q3NFFYbHhfU2NSUF83cmRkUWwxYjlwVjZPWGhpY2xIZ2gxdlRQclBnLXJxNGpEQkE?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
